X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,F,Y,Improvement,TREATMENT_NAME,MinTreatment,FollowRec,GroupId,ABS_Improvement,Total_Nbr_Follow_Rec,Total_Y_Follow_Rec,Total_Nbr_Not_Follow_Rec,Total_Y_Not_Follow_Rec,UPLIFT
56.0,47.0,67.0,54.0,44.0,67.0,43.0,34.0,73.0,16.0,83.0,63.0,6.0,20.0,13.0,17.0,84.0,89.0,31.0,21.0,1.0,1,0.6446590458112242,F,2.5,0.0,5,0.6446590458112242,0.0,0.0,1.0,1.0,0.0
39.0,3.0,24.0,105.0,73.0,17.0,67.0,76.0,47.0,12.0,11.0,41.0,5.0,29.0,8.0,65.0,44.0,87.0,11.0,47.0,1.0,1,0.6446590458112242,F,2.5,0.0,5,0.6446590458112242,0.0,0.0,2.0,2.0,0.0
22.0,60.0,34.0,97.0,38.0,28.0,92.0,1.0,37.0,41.0,42.0,19.0,16.0,70.0,48.0,12.0,62.0,84.0,13.0,22.0,1.0,0,0.6446590458112242,F,2.5,0.0,5,0.6446590458112242,0.0,0.0,3.0,2.0,0.0
45.0,24.0,41.0,85.0,21.0,42.0,6.0,89.0,12.0,51.0,17.0,50.0,74.0,67.0,74.0,51.0,18.0,75.0,48.0,25.0,4.0,0,0.6446590458112242,F,2.5,1.0,5,0.6446590458112242,1.0,0.0,3.0,2.0,-0.6666666666666666
69.0,66.0,2.0,86.0,54.0,65.0,35.0,57.0,29.0,67.0,66.0,29.0,12.0,41.0,40.0,9.0,49.0,80.0,40.0,62.0,1.0,0,0.6446590458112242,F,2.5,0.0,5,0.6446590458112242,1.0,0.0,4.0,2.0,-0.5
85.0,44.0,27.0,38.0,16.0,55.0,70.0,93.0,83.0,51.0,35.0,52.0,79.0,41.0,39.0,26.0,45.0,87.0,48.0,47.0,1.0,0,0.6446590458112242,F,2.5,0.0,5,0.6446590458112242,1.0,0.0,5.0,2.0,-0.4
98.0,21.0,24.0,90.0,8.0,62.0,64.0,48.0,79.0,13.0,78.0,32.0,2.0,37.0,76.0,72.0,38.0,90.0,41.0,95.0,1.0,0,0.6446590458112242,F,2.5,0.0,5,0.6446590458112242,1.0,0.0,6.0,2.0,-0.3333333333333333
96.0,23.0,88.0,43.0,27.0,78.0,76.0,63.0,47.0,55.0,65.0,22.0,57.0,53.0,73.0,26.0,84.0,76.0,26.0,80.0,10.0,1,0.6446590458112242,F,2.5,1.0,5,0.6446590458112242,2.0,1.0,6.0,2.0,0.16666666666666669
36.0,3.0,2.0,80.0,55.0,65.0,26.0,10.0,82.0,55.0,83.0,57.0,67.0,41.0,32.0,25.0,66.0,85.0,46.0,26.0,1.0,0,0.6446590458112242,F,2.5,0.0,5,0.6446590458112242,2.0,1.0,7.0,2.0,0.2142857142857143
19.0,41.0,84.0,6.0,31.0,10.0,14.0,63.0,83.0,10.0,86.0,35.0,55.0,71.0,39.0,74.0,33.0,90.0,20.0,22.0,1.0,1,0.6446590458112242,F,2.5,0.0,5,0.6446590458112242,2.0,1.0,8.0,3.0,0.125
7.0,74.0,15.0,36.0,16.0,75.0,47.0,50.0,29.0,55.0,20.0,45.0,6.0,43.0,32.0,63.0,20.0,75.0,57.0,65.0,1.0,0,0.6446590458112242,F,2.5,0.0,5,0.6446590458112242,2.0,1.0,9.0,3.0,0.16666666666666669
28.0,25.0,76.0,93.0,44.0,55.0,27.0,42.0,7.0,19.0,50.0,52.0,11.0,38.0,76.0,2.0,84.0,85.0,57.0,22.0,5.0,0,0.6446590458112242,F,2.5,1.0,5,0.6446590458112242,3.0,1.0,9.0,3.0,0.0
96.0,55.0,76.0,86.0,73.0,31.0,36.0,78.0,59.0,34.0,19.0,44.0,39.0,1.0,76.0,37.0,40.0,80.0,75.0,27.0,10.0,1,0.6446590458112242,F,2.5,1.0,5,0.6446590458112242,4.0,2.0,9.0,3.0,0.16666666666666669
94.0,13.0,73.0,93.0,8.0,87.0,41.0,89.0,47.0,24.0,40.0,47.0,43.0,27.0,76.0,62.0,42.0,78.0,40.0,48.0,10.0,1,0.6446590458112242,F,2.5,1.0,5,0.6446590458112242,5.0,3.0,9.0,3.0,0.26666666666666666
29.0,29.0,60.0,32.0,53.0,11.0,39.0,91.0,37.0,69.0,51.0,38.0,55.0,32.0,19.0,65.0,9.0,78.0,22.0,21.0,1.0,1,0.6446590458112242,F,2.5,0.0,5,0.6446590458112242,5.0,3.0,10.0,4.0,0.19999999999999996
63.0,72.0,79.0,59.0,38.0,76.0,33.0,30.0,3.0,35.0,77.0,68.0,53.0,37.0,45.0,16.0,76.0,80.0,25.0,92.0,1.0,1,0.6446590458112242,F,2.5,0.0,5,0.6446590458112242,5.0,3.0,11.0,5.0,0.14545454545454545
69.0,12.0,50.0,89.0,49.0,45.0,86.0,29.0,72.0,52.0,77.0,17.0,43.0,55.0,24.0,65.0,74.0,91.0,12.0,22.0,1.0,1,0.6446590458112242,F,2.5,0.0,5,0.6446590458112242,5.0,3.0,12.0,6.0,0.09999999999999998
49.0,67.0,41.0,67.0,53.0,33.0,90.0,43.0,61.0,52.0,63.0,73.0,67.0,1.0,16.0,65.0,20.0,75.0,52.0,16.0,4.0,0,0.6446590458112242,F,2.5,1.0,5,0.6446590458112242,6.0,3.0,12.0,6.0,0.0
35.0,30.0,74.0,73.0,40.0,36.0,56.0,29.0,35.0,55.0,3.0,68.0,43.0,75.0,3.0,5.0,79.0,78.0,11.0,91.0,1.0,0,0.6446590458112242,F,2.5,0.0,5,0.6446590458112242,6.0,3.0,13.0,6.0,0.038461538461538436
94.0,9.0,15.0,67.0,8.0,53.0,27.0,50.0,21.0,4.0,85.0,15.0,24.0,59.0,59.0,11.0,63.0,78.0,22.0,32.0,1.0,0,0.6446590458112242,F,2.5,0.0,5,0.6446590458112242,6.0,3.0,14.0,6.0,0.07142857142857145
96.0,15.0,76.0,112.0,9.0,61.0,72.0,15.0,47.0,51.0,86.0,28.0,5.0,11.0,70.0,55.0,12.0,78.0,31.0,62.0,1.0,0,0.6446590458112242,F,2.5,0.0,5,0.6446590458112242,6.0,3.0,15.0,6.0,0.09999999999999998
74.0,11.0,56.0,25.0,25.0,26.0,18.0,18.0,2.0,52.0,69.0,45.0,3.0,77.0,70.0,33.0,62.0,83.0,40.0,4.0,10.0,1,0.6446590458112242,F,2.5,1.0,5,0.6446590458112242,7.0,4.0,15.0,6.0,0.17142857142857137
79.0,70.0,76.0,78.0,42.0,77.0,20.0,12.0,44.0,29.0,71.0,33.0,43.0,55.0,72.0,17.0,70.0,88.0,16.0,48.0,9.0,1,0.6446590458112242,F,2.5,1.0,5,0.6446590458112242,8.0,5.0,15.0,6.0,0.22499999999999998
49.0,11.0,6.0,16.0,72.0,49.0,71.0,50.0,1.0,20.0,34.0,57.0,27.0,63.0,44.0,60.0,28.0,85.0,29.0,22.0,1.0,1,0.6446590458112242,F,2.5,0.0,5,0.6446590458112242,8.0,5.0,16.0,7.0,0.1875
10.0,7.0,84.0,6.0,59.0,19.0,1.0,74.0,18.0,22.0,80.0,79.0,60.0,40.0,40.0,9.0,67.0,90.0,22.0,86.0,1.0,1,0.6446590458112242,F,2.5,0.0,5,0.6446590458112242,8.0,5.0,17.0,8.0,0.15441176470588236
40.0,62.0,52.0,111.0,58.0,10.0,74.0,48.0,7.0,1.0,83.0,28.0,12.0,53.0,50.0,2.0,32.0,80.0,26.0,73.0,1.0,0,0.6446590458112242,F,2.5,0.0,5,0.6446590458112242,8.0,5.0,18.0,8.0,0.18055555555555558
40.0,5.0,76.0,102.0,26.0,67.0,1.0,18.0,15.0,10.0,44.0,62.0,30.0,37.0,53.0,28.0,10.0,83.0,26.0,25.0,1.0,0,0.6446590458112242,F,2.5,0.0,5,0.6446590458112242,8.0,5.0,19.0,8.0,0.20394736842105265
69.0,23.0,53.0,34.0,54.0,30.0,44.0,79.0,2.0,8.0,28.0,31.0,43.0,35.0,19.0,22.0,24.0,78.0,25.0,94.0,1.0,1,0.6446590458112242,F,2.5,0.0,5,0.6446590458112242,8.0,5.0,20.0,9.0,0.175
96.0,47.0,50.0,94.0,11.0,20.0,72.0,85.0,59.0,10.0,13.0,43.0,3.0,45.0,20.0,30.0,12.0,89.0,64.0,22.0,1.0,0,0.6446590458112242,F,2.5,0.0,5,0.6446590458112242,8.0,5.0,21.0,9.0,0.19642857142857145
6.0,12.0,13.0,105.0,5.0,26.0,59.0,34.0,29.0,44.0,36.0,74.0,6.0,27.0,19.0,42.0,25.0,80.0,66.0,80.0,5.0,0,0.6446590458112242,F,2.5,1.0,5,0.6446590458112242,9.0,5.0,21.0,9.0,0.12698412698412703
31.0,72.0,39.0,105.0,16.0,53.0,49.0,76.0,1.0,28.0,80.0,41.0,73.0,59.0,6.0,42.0,53.0,85.0,42.0,79.0,10.0,1,0.6446590458112242,F,2.5,1.0,5,0.6446590458112242,10.0,6.0,21.0,9.0,0.17142857142857143
88.0,36.0,35.0,61.0,60.0,69.0,72.0,53.0,11.0,64.0,27.0,42.0,12.0,37.0,50.0,70.0,58.0,91.0,22.0,10.0,1.0,0,0.6446590458112242,F,2.5,0.0,5,0.6446590458112242,10.0,6.0,22.0,9.0,0.19090909090909086
40.0,34.0,43.0,34.0,44.0,74.0,31.0,10.0,65.0,67.0,19.0,68.0,71.0,34.0,55.0,11.0,46.0,91.0,44.0,2.0,1.0,0,0.6446590458112242,F,2.5,0.0,5,0.6446590458112242,10.0,6.0,23.0,9.0,0.208695652173913
98.0,29.0,29.0,32.0,31.0,51.0,23.0,29.0,82.0,51.0,36.0,77.0,79.0,34.0,3.0,65.0,82.0,80.0,32.0,84.0,9.0,1,0.6446590458112242,F,2.5,1.0,5,0.6446590458112242,11.0,7.0,23.0,9.0,0.24505928853754938
28.0,65.0,25.0,52.0,54.0,89.0,73.0,91.0,3.0,41.0,40.0,68.0,5.0,55.0,39.0,7.0,51.0,78.0,16.0,22.0,1.0,1,0.6446590458112242,F,2.5,0.0,5,0.6446590458112242,11.0,7.0,24.0,10.0,0.21969696969696967
12.0,30.0,54.0,13.0,42.0,28.0,24.0,23.0,41.0,5.0,73.0,68.0,12.0,79.0,12.0,2.0,71.0,83.0,15.0,35.0,1.0,0,0.6446590458112242,F,2.5,0.0,5,0.6446590458112242,11.0,7.0,25.0,10.0,0.23636363636363633
81.0,28.0,3.0,3.0,9.0,50.0,72.0,48.0,43.0,46.0,85.0,37.0,33.0,71.0,3.0,61.0,75.0,85.0,70.0,19.0,1.0,0,0.6446590458112242,F,2.5,0.0,5,0.6446590458112242,11.0,7.0,26.0,10.0,0.2517482517482517
98.0,51.0,4.0,100.0,52.0,70.0,20.0,21.0,74.0,14.0,40.0,28.0,69.0,44.0,78.0,50.0,57.0,90.0,17.0,16.0,10.0,1,0.6446590458112242,F,2.5,1.0,5,0.6446590458112242,12.0,8.0,26.0,10.0,0.282051282051282
94.0,33.0,84.0,35.0,49.0,26.0,27.0,18.0,29.0,2.0,77.0,40.0,63.0,67.0,1.0,21.0,1.0,80.0,73.0,86.0,10.0,1,0.6446590458112242,F,2.5,1.0,5,0.6446590458112242,13.0,9.0,26.0,10.0,0.30769230769230765
10.0,51.0,5.0,103.0,53.0,61.0,20.0,89.0,68.0,2.0,30.0,42.0,18.0,27.0,24.0,27.0,10.0,80.0,57.0,61.0,1.0,0,0.6446590458112242,F,2.5,0.0,5,0.6446590458112242,13.0,9.0,27.0,10.0,0.32193732193732194
98.0,22.0,68.0,14.0,27.0,20.0,12.0,9.0,5.0,10.0,65.0,37.0,16.0,27.0,11.0,23.0,20.0,77.0,59.0,32.0,10.0,1,0.6446590458112242,F,2.5,1.0,5,0.6446590458112242,14.0,10.0,27.0,10.0,0.34391534391534395
61.0,30.0,6.0,112.0,4.0,69.0,46.0,53.0,47.0,67.0,28.0,21.0,11.0,29.0,49.0,8.0,76.0,87.0,63.0,88.0,1.0,1,0.6446590458112242,F,2.5,0.0,5,0.6446590458112242,14.0,10.0,28.0,11.0,0.32142857142857145
8.0,65.0,47.0,90.0,49.0,81.0,33.0,91.0,75.0,26.0,1.0,32.0,55.0,32.0,10.0,55.0,18.0,81.0,25.0,82.0,1.0,0,0.6446590458112242,F,2.5,0.0,5,0.6446590458112242,14.0,10.0,29.0,11.0,0.3349753694581281
71.0,7.0,13.0,67.0,60.0,63.0,47.0,29.0,66.0,2.0,17.0,28.0,67.0,64.0,70.0,28.0,11.0,80.0,9.0,16.0,1.0,0,0.6446590458112242,F,2.5,0.0,5,0.6446590458112242,14.0,10.0,30.0,11.0,0.34761904761904766
73.0,33.0,50.0,95.0,16.0,65.0,92.0,76.0,47.0,28.0,80.0,26.0,16.0,51.0,75.0,23.0,9.0,80.0,76.0,9.0,10.0,1,0.6446590458112242,F,2.5,1.0,5,0.6446590458112242,15.0,11.0,30.0,11.0,0.36666666666666664
81.0,27.0,29.0,73.0,41.0,4.0,20.0,16.0,82.0,11.0,20.0,61.0,43.0,59.0,20.0,22.0,12.0,91.0,29.0,93.0,1.0,1,0.6446590458112242,F,2.5,0.0,5,0.6446590458112242,15.0,11.0,31.0,12.0,0.3462365591397849
44.0,37.0,16.0,33.0,42.0,81.0,1.0,13.0,25.0,64.0,40.0,53.0,43.0,37.0,43.0,58.0,73.0,80.0,33.0,48.0,1.0,1,0.6446590458112242,F,2.5,0.0,5,0.6446590458112242,15.0,11.0,32.0,13.0,0.3270833333333333
88.0,47.0,76.0,83.0,41.0,87.0,32.0,88.0,3.0,6.0,60.0,76.0,53.0,26.0,20.0,63.0,18.0,86.0,42.0,86.0,6.0,1,0.6446590458112242,F,2.5,1.0,5,0.6446590458112242,16.0,12.0,32.0,13.0,0.34375
16.0,2.0,67.0,30.0,58.0,26.0,92.0,23.0,18.0,13.0,86.0,77.0,31.0,29.0,3.0,35.0,45.0,91.0,35.0,23.0,1.0,0,0.6446590458112242,F,2.5,0.0,5,0.6446590458112242,16.0,12.0,33.0,13.0,0.3560606060606061
74.0,44.0,6.0,109.0,68.0,30.0,67.0,12.0,5.0,43.0,43.0,37.0,6.0,15.0,10.0,15.0,57.0,80.0,56.0,21.0,10.0,1,0.6446590458112242,F,2.5,1.0,5,0.6446590458112242,17.0,13.0,33.0,13.0,0.3707664884135472
1.0,17.0,41.0,90.0,38.0,10.0,7.0,89.0,61.0,44.0,83.0,57.0,38.0,46.0,77.0,12.0,33.0,83.0,37.0,7.0,10.0,1,0.6446590458112242,F,2.5,1.0,5,0.6446590458112242,18.0,14.0,33.0,13.0,0.38383838383838387
1.0,12.0,88.0,86.0,42.0,42.0,43.0,79.0,52.0,46.0,40.0,15.0,44.0,50.0,60.0,32.0,15.0,91.0,56.0,67.0,4.0,1,0.6446590458112242,F,2.5,1.0,5,0.6446590458112242,19.0,15.0,33.0,13.0,0.3955342902711324
14.0,22.0,2.0,77.0,56.0,11.0,38.0,20.0,61.0,10.0,79.0,50.0,73.0,10.0,1.0,30.0,10.0,91.0,61.0,62.0,10.0,1,0.6446590458112242,F,2.5,1.0,5,0.6446590458112242,20.0,16.0,33.0,13.0,0.4060606060606061
79.0,9.0,50.0,102.0,49.0,58.0,36.0,66.0,35.0,37.0,51.0,37.0,16.0,27.0,77.0,37.0,3.0,81.0,21.0,79.0,10.0,1,0.6446590458112242,F,2.5,1.0,5,0.6446590458112242,21.0,17.0,33.0,13.0,0.4155844155844156
69.0,7.0,50.0,57.0,11.0,26.0,41.0,73.0,38.0,24.0,31.0,14.0,43.0,7.0,61.0,37.0,18.0,89.0,72.0,99.0,1.0,0,0.6446590458112242,F,2.5,0.0,5,0.6446590458112242,21.0,17.0,34.0,13.0,0.427170868347339
55.0,74.0,71.0,112.0,53.0,30.0,74.0,20.0,78.0,26.0,74.0,55.0,74.0,45.0,44.0,65.0,36.0,84.0,37.0,39.0,1.0,0,0.6446590458112242,F,2.5,0.0,5,0.6446590458112242,21.0,17.0,35.0,13.0,0.4380952380952381
10.0,37.0,60.0,90.0,66.0,50.0,70.0,75.0,66.0,57.0,5.0,21.0,45.0,48.0,16.0,30.0,6.0,78.0,60.0,43.0,1.0,0,0.6446590458112242,F,2.5,0.0,5,0.6446590458112242,21.0,17.0,36.0,13.0,0.44841269841269843
95.0,52.0,86.0,71.0,11.0,57.0,18.0,3.0,47.0,62.0,42.0,79.0,12.0,27.0,65.0,11.0,63.0,32.0,9.0,20.0,1.0,0,0.6220243269178107,F,8.5,0.0,4,0.6220243269178107,21.0,17.0,37.0,13.0,0.45817245817245816
79.0,44.0,13.0,71.0,17.0,50.0,50.0,62.0,65.0,1.0,51.0,14.0,5.0,5.0,39.0,65.0,46.0,51.0,11.0,70.0,1.0,0,0.6220243269178107,F,8.5,0.0,4,0.6220243269178107,21.0,17.0,38.0,13.0,0.4674185463659148
88.0,47.0,90.0,106.0,42.0,64.0,41.0,59.0,60.0,44.0,23.0,18.0,42.0,2.0,29.0,40.0,63.0,42.0,27.0,22.0,1.0,0,0.6220243269178107,F,8.5,0.0,4,0.6220243269178107,21.0,17.0,39.0,13.0,0.4761904761904762
14.0,34.0,6.0,94.0,44.0,25.0,60.0,31.0,11.0,6.0,49.0,22.0,43.0,11.0,20.0,15.0,43.0,30.0,48.0,37.0,2.0,0,0.6220243269178107,F,8.5,0.0,4,0.6220243269178107,21.0,17.0,40.0,13.0,0.4845238095238095
83.0,7.0,6.0,36.0,25.0,10.0,20.0,32.0,66.0,22.0,51.0,14.0,56.0,27.0,20.0,63.0,25.0,49.0,40.0,78.0,1.0,0,0.6220243269178107,F,8.5,0.0,4,0.6220243269178107,21.0,17.0,41.0,13.0,0.4924506387921022
58.0,40.0,4.0,97.0,8.0,51.0,90.0,93.0,48.0,33.0,68.0,56.0,43.0,7.0,38.0,7.0,49.0,71.0,60.0,68.0,1.0,0,0.6220243269178107,F,8.5,0.0,4,0.6220243269178107,21.0,17.0,42.0,13.0,0.5
14.0,74.0,37.0,77.0,68.0,89.0,20.0,11.0,43.0,52.0,11.0,35.0,36.0,78.0,61.0,65.0,2.0,12.0,37.0,80.0,1.0,0,0.6220243269178107,F,8.5,0.0,4,0.6220243269178107,21.0,17.0,43.0,13.0,0.5071982281284607
