X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,F,Y,Improvement,TREATMENT_NAME,MinTreatment,FollowRec,GroupId,ABS_Improvement,Total_Nbr_Follow_Rec,Total_Y_Follow_Rec,Total_Nbr_Not_Follow_Rec,Total_Y_Not_Follow_Rec,UPLIFT
68.0,86.0,52.0,21.0,18.0,10.0,52.0,84.0,59.0,29.0,81.0,86.0,22.0,14.0,34.0,73.0,55.0,37.0,43.0,72.0,1.0,67.0,82.0,62.0,60.0,47.0,65.0,25.0,72.0,26.0,43.0,79.0,68.0,49.0,50.0,66.0,26.0,21.0,15.0,70.0,23.0,46.0,45.0,30.0,52.0,48.0,44.0,33.0,50.0,15.0,11.0,0,0.5060554483802846,F,1.5,1.0,3,0.5060554483802846,1.0,0.0,0.0,0.0,0.0
56.0,10.0,11.0,77.0,84.0,37.0,22.0,71.0,5.0,72.0,9.0,88.0,18.0,46.0,62.0,22.0,38.0,82.0,53.0,91.0,83.0,64.0,1.0,68.0,85.0,9.0,1.0,1.0,14.0,47.0,41.0,82.0,81.0,11.0,7.0,44.0,59.0,45.0,56.0,50.0,8.0,49.0,81.0,67.0,21.0,85.0,18.0,70.0,20.0,64.0,13.0,1,0.5060554483802846,F,1.5,1.0,3,0.5060554483802846,2.0,1.0,0.0,0.0,0.5
40.0,81.0,67.0,66.0,62.0,80.0,20.0,91.0,54.0,13.0,41.0,73.0,71.0,46.0,17.0,16.0,39.0,85.0,9.0,69.0,1.0,67.0,67.0,21.0,18.0,84.0,66.0,67.0,14.0,6.0,65.0,17.0,17.0,64.0,68.0,78.0,45.0,4.0,35.0,85.0,33.0,78.0,67.0,25.0,10.0,38.0,26.0,5.0,33.0,59.0,9.0,1,0.5060554483802846,F,1.5,1.0,3,0.5060554483802846,3.0,2.0,0.0,0.0,0.6666666666666666
50.0,4.0,86.0,31.0,20.0,49.0,69.0,3.0,5.0,29.0,15.0,73.0,76.0,41.0,79.0,44.0,33.0,40.0,38.0,82.0,68.0,36.0,46.0,21.0,86.0,3.0,12.0,5.0,40.0,43.0,13.0,2.0,79.0,59.0,34.0,60.0,71.0,62.0,32.0,50.0,6.0,33.0,53.0,78.0,82.0,69.0,55.0,85.0,69.0,79.0,5.0,1,0.5060554483802846,F,1.5,1.0,3,0.5060554483802846,4.0,3.0,0.0,0.0,0.75
21.0,40.0,24.0,68.0,10.0,13.0,89.0,91.0,24.0,9.0,61.0,7.0,58.0,46.0,63.0,90.0,34.0,49.0,43.0,44.0,67.0,24.0,29.0,70.0,55.0,23.0,56.0,8.0,79.0,68.0,79.0,79.0,50.0,53.0,2.0,1.0,83.0,50.0,54.0,40.0,13.0,6.0,37.0,17.0,14.0,21.0,7.0,42.0,74.0,82.0,1.0,1,0.5060554483802846,F,1.5,0.0,3,0.5060554483802846,4.0,3.0,1.0,1.0,-0.25
79.0,8.0,35.0,23.0,62.0,13.0,62.0,16.0,60.0,47.0,41.0,65.0,6.0,14.0,4.0,61.0,52.0,31.0,50.0,50.0,36.0,29.0,64.0,88.0,52.0,37.0,69.0,58.0,42.0,34.0,49.0,57.0,43.0,48.0,33.0,50.0,53.0,89.0,30.0,62.0,52.0,22.0,34.0,17.0,78.0,81.0,65.0,69.0,29.0,1.0,2.0,1,0.5060554483802846,F,1.5,1.0,3,0.5060554483802846,5.0,4.0,1.0,1.0,-0.19999999999999996
16.0,54.0,70.0,82.0,39.0,33.0,22.0,3.0,76.0,71.0,3.0,86.0,71.0,27.0,39.0,37.0,24.0,96.0,48.0,102.0,47.0,38.0,46.0,46.0,34.0,3.0,31.0,47.0,37.0,32.0,34.0,28.0,10.0,52.0,38.0,50.0,18.0,37.0,61.0,22.0,10.0,78.0,4.0,66.0,50.0,70.0,48.0,25.0,26.0,76.0,2.0,0,0.5060554483802846,F,1.5,1.0,3,0.5060554483802846,6.0,4.0,1.0,1.0,-0.33333333333333337
21.0,70.0,70.0,77.0,55.0,30.0,11.0,3.0,76.0,81.0,12.0,12.0,8.0,17.0,76.0,31.0,33.0,33.0,44.0,30.0,37.0,44.0,67.0,15.0,65.0,94.0,61.0,7.0,31.0,47.0,41.0,82.0,37.0,64.0,65.0,46.0,25.0,37.0,22.0,29.0,41.0,38.0,64.0,50.0,57.0,69.0,18.0,69.0,30.0,24.0,5.0,0,0.5060554483802846,F,1.5,1.0,3,0.5060554483802846,7.0,4.0,1.0,1.0,-0.4285714285714286
36.0,22.0,82.0,86.0,70.0,35.0,78.0,84.0,23.0,41.0,65.0,46.0,45.0,6.0,1.0,24.0,30.0,79.0,41.0,78.0,88.0,78.0,8.0,41.0,32.0,39.0,26.0,16.0,14.0,57.0,68.0,7.0,81.0,54.0,65.0,24.0,52.0,37.0,61.0,18.0,56.0,22.0,38.0,50.0,34.0,59.0,11.0,65.0,74.0,47.0,1.0,1,0.5060554483802846,F,1.5,0.0,3,0.5060554483802846,7.0,4.0,2.0,2.0,-0.4285714285714286
46.0,38.0,67.0,58.0,3.0,37.0,56.0,33.0,35.0,1.0,24.0,6.0,74.0,20.0,35.0,75.0,55.0,81.0,50.0,48.0,46.0,71.0,21.0,78.0,61.0,23.0,24.0,48.0,65.0,44.0,34.0,2.0,53.0,78.0,24.0,50.0,18.0,56.0,32.0,67.0,52.0,39.0,9.0,1.0,71.0,68.0,7.0,44.0,60.0,43.0,3.0,1,0.5060554483802846,F,1.5,1.0,3,0.5060554483802846,8.0,5.0,2.0,2.0,-0.375
32.0,71.0,95.0,70.0,10.0,44.0,30.0,48.0,78.0,13.0,38.0,9.0,31.0,31.0,71.0,33.0,8.0,52.0,46.0,32.0,9.0,88.0,75.0,43.0,21.0,88.0,37.0,34.0,37.0,65.0,16.0,48.0,19.0,64.0,47.0,27.0,56.0,14.0,41.0,23.0,3.0,46.0,10.0,2.0,23.0,86.0,7.0,33.0,70.0,31.0,6.0,0,0.5060554483802846,F,1.5,1.0,3,0.5060554483802846,9.0,5.0,2.0,2.0,-0.4444444444444444
14.0,6.0,61.0,64.0,10.0,73.0,77.0,61.0,76.0,40.0,53.0,66.0,30.0,27.0,21.0,17.0,65.0,13.0,27.0,91.0,75.0,22.0,67.0,43.0,85.0,73.0,12.0,29.0,46.0,2.0,13.0,78.0,19.0,62.0,2.0,90.0,24.0,77.0,24.0,11.0,58.0,27.0,9.0,5.0,3.0,32.0,25.0,16.0,82.0,59.0,3.0,1,0.5060554483802846,F,1.5,1.0,3,0.5060554483802846,10.0,6.0,2.0,2.0,-0.4
8.0,19.0,68.0,42.0,34.0,91.0,64.0,46.0,59.0,79.0,3.0,88.0,6.0,37.0,71.0,86.0,31.0,42.0,67.0,83.0,64.0,10.0,16.0,21.0,41.0,77.0,56.0,67.0,31.0,8.0,15.0,66.0,75.0,36.0,68.0,77.0,1.0,51.0,13.0,39.0,5.0,26.0,60.0,1.0,61.0,36.0,49.0,17.0,67.0,56.0,1.0,0,0.5060554483802846,F,1.5,0.0,3,0.5060554483802846,10.0,6.0,3.0,2.0,-0.06666666666666665
