AUC,FolderNbr
29.470685583333335,16.0
29.054015166666648,17.0
29.00010627777779,18.0
28.934265000000003,13.0
28.776038972222228,14.0
28.760121666666674,19.0
28.716682249999998,12.0
28.571647416666668,15.0
28.558437416666653,9.0
28.546303166666675,10.0
28.330859166666656,22.0
28.23848550000002,11.0
28.134840416666666,20.0
28.04424650000001,21.0
28.017840916666668,23.0
27.91316291666666,8.0
27.752084722222246,24.0
27.706833166666648,25.0
27.642180750000005,26.0
27.496238499999997,28.0
27.058829111111113,29.0
27.045935166666666,27.0
27.000107583333335,30.0
26.764791499999987,7.0
26.723419083333336,34.0
26.5136581388889,38.0
26.507597166666653,39.0
26.477436777777775,33.0
26.458522861111085,31.0
26.44473049999998,36.0
26.41935038888888,37.0
26.411502722222213,35.0
26.237835583333343,32.0
26.233384611111113,40.0
26.03565833333332,42.0
25.955165694444457,43.0
25.941825916666655,41.0
25.842096138888895,47.0
25.820297277777776,50.0
25.815858416666636,44.0
25.798380750000007,49.0
25.68696283333335,46.0
25.677304388888896,48.0
25.633236749999995,45.0
24.466353055555533,6.0
23.847418166666657,5.0
22.77481066666665,4.0
21.636964166666665,3.0
21.14854983333333,2.0
18.525149333333353,1.0
