AUC,FolderNbr
29.245716333333338,1.0
29.16603950000001,2.0
28.465963666666678,3.0
28.052152666666686,4.0
27.85486483333335,8.0
27.577663583333337,7.0
27.53071624999998,5.0
27.362273333333356,6.0
26.703349361111115,10.0
26.50565172222225,9.0
25.981137388888882,12.0
25.748707555555573,11.0
25.41970741666667,13.0
25.099017750000016,14.0
24.480295527777777,15.0
24.01078272222221,19.0
23.896940111111128,16.0
23.787300555555564,17.0
23.56985061111112,20.0
23.51353958333334,18.0
23.425749777777753,21.0
23.025982194444442,22.0
22.975576833333335,24.0
22.775713694444423,23.0
22.5273693611111,25.0
22.382095750000012,26.0
22.192898444444445,28.0
22.019637027777783,27.0
21.843256194444436,29.0
21.71654088888889,30.0
21.690899,32.0
21.413394055555557,31.0
21.20897827777779,34.0
21.164480861111112,33.0
21.13285180555554,35.0
20.94378247222221,36.0
20.833364000000003,37.0
20.76021444444444,38.0
20.55665230555557,40.0
20.552002055555544,39.0
20.321824305555573,46.0
20.218025111111118,41.0
20.14383261111112,43.0
20.116815777777767,42.0
20.05534411111112,44.0
19.882400083333337,45.0
19.82425822222222,47.0
19.780355555555552,49.0
19.679004555555565,48.0
19.559660055555565,50.0
