AUC,FolderNbr
12.929163833333321,1.0
12.287274083333333,5.0
11.875508833333333,6.0
11.404206555555554,7.0
11.106386166666667,3.0
10.797684194444443,2.0
10.660705999999998,4.0
9.688372999999993,8.0
7.993470166666667,9.0
7.922934916666662,10.0
7.351254416666672,15.0
7.120976999999997,11.0
6.8295270000000015,13.0
6.268051666666662,12.0
5.8552651388888926,14.0
5.760049888888887,23.0
5.611313666666664,16.0
5.5313191666666635,22.0
5.484307416666664,20.0
5.370445083333335,24.0
5.10348341666667,18.0
5.076842833333336,17.0
5.0060474166666635,26.0
4.747000499999998,19.0
4.633501166666665,25.0
4.3218975277777805,46.0
4.310016666666668,44.0
4.053969833333333,31.0
3.865309833333335,28.0
3.739060583333333,21.0
3.720591916666667,43.0
3.4183995555555575,50.0
3.369745333333333,30.0
3.329108111111112,49.0
3.3049195833333327,39.0
3.2733051666666686,27.0
3.270487916666668,40.0
3.2374540000000005,38.0
2.8897667777777776,45.0
2.7764262499999983,35.0
2.7237070000000005,36.0
2.6711084166666654,29.0
2.3353451666666682,33.0
1.9463503333333332,34.0
1.937993555555556,37.0
1.3971616944444445,41.0
0.906392,32.0
0.5012925555555553,47.0
0.39923316666666675,48.0
-0.5880317499999999,42.0
