AUC,FolderNbr
21.8535295,1.0
20.93338916666669,2.0
19.96948783333334,3.0
19.481437416666655,4.0
18.09920983333332,6.0
18.08574825,5.0
17.10644466666666,7.0
16.799773611111103,8.0
16.323229000000005,9.0
15.70488211111111,10.0
15.052137611111105,11.0
14.52252766666666,12.0
14.321362833333325,13.0
13.92754083333333,14.0
13.012152583333336,17.0
12.814761666666666,15.0
12.788597000000008,18.0
12.653808666666668,16.0
12.637833500000003,19.0
12.392106083333331,21.0
12.260368166666668,20.0
12.219210333333342,23.0
12.2058915,22.0
11.940108833333332,24.0
11.530770166666663,25.0
10.834838333333343,27.0
10.609484916666664,28.0
10.59075044444445,26.0
10.171245111111107,30.0
10.017782361111113,50.0
9.992863666666661,43.0
9.979357861111115,49.0
9.932283499999993,31.0
9.907478166666666,29.0
9.760780027777779,44.0
9.693911166666663,46.0
9.559087499999997,47.0
9.406882861111113,45.0
9.364779583333334,32.0
9.203707583333328,34.0
9.139183222222231,40.0
8.99797491666667,33.0
8.962705861111116,36.0
8.933366666666664,48.0
8.837451972222222,42.0
8.728606527777782,35.0
8.662845861111103,41.0
8.573856916666665,38.0
8.468265722222224,37.0
8.454777333333336,39.0
