AUC,FolderNbr
14.123134555555565,1.0
12.422126499999989,2.0
11.032041833333334,5.0
10.900397555555555,3.0
10.508554416666666,4.0
10.016292666666656,6.0
9.581531666666676,7.0
9.015612666666673,8.0
7.816518666666662,9.0
7.682782083333328,10.0
7.5501732777777795,15.0
7.411334833333338,12.0
7.125517500000001,13.0
6.970272499999994,11.0
5.737795999999995,44.0
5.572940583333332,22.0
5.5711909166666675,14.0
5.169175222222224,17.0
4.691255249999998,27.0
4.63996358333333,20.0
4.463676444444439,46.0
4.0219074166666715,23.0
4.0077873333333365,21.0
3.963552833333332,26.0
3.9057340833333307,35.0
3.7702195833333323,34.0
3.7325884444444437,25.0
3.6518969722222208,47.0
3.599762638888888,18.0
3.5193383333333306,16.0
3.427683222222222,36.0
3.385138833333332,50.0
3.3570415833333316,30.0
3.350550500000003,42.0
3.2455506666666665,19.0
3.1541983055555565,33.0
3.115259333333333,31.0
2.7611937500000026,24.0
2.7108962500000007,48.0
2.61423691666667,37.0
2.5824939999999974,28.0
2.4353464166666647,32.0
2.3338587777777757,41.0
2.160677194444443,45.0
2.1213226111111103,49.0
1.9295558333333325,43.0
1.7342331666666682,38.0
1.6026375833333348,39.0
1.110178666666667,29.0
0.19811316666666645,40.0
