AUC,FolderNbr
30.782855166666682,13.0
30.36075783333333,10.0
30.140970694444427,14.0
29.890343305555565,16.0
29.74210477777781,15.0
29.67073186111113,18.0
29.64115966666666,17.0
29.586373444444426,9.0
29.290826472222232,20.0
29.15008675000001,11.0
29.031058666666674,12.0
29.025603249999993,19.0
28.897266638888876,8.0
28.880819666666678,22.0
28.771830583333323,21.0
28.323449166666666,23.0
28.04327330555556,26.0
27.99623075,6.0
27.994640277777776,24.0
27.92510811111112,27.0
27.877289916666665,7.0
27.651618027777776,25.0
27.562147083333343,30.0
27.364785916666644,29.0
27.256518916666693,31.0
27.2045736111111,34.0
27.113469444444444,33.0
27.05010733333333,32.0
26.906950777777773,41.0
26.852890833333333,38.0
26.745315,35.0
26.74026572222225,40.0
26.73405908333331,37.0
26.675749722222232,28.0
26.668393833333326,44.0
26.61856769444446,36.0
26.533958999999978,48.0
26.523429916666675,42.0
26.51336883333333,43.0
26.43811799999999,45.0
26.257888500000004,39.0
26.186188749999996,47.0
26.17109716666665,50.0
26.06451974999999,46.0
25.96295316666667,49.0
25.815260666666656,5.0
24.807390833333336,3.0
24.308271722222226,4.0
23.785730194444433,1.0
23.78341300000001,2.0
