AUC,FolderNbr
29.33333850000001,1.0
29.07253658333334,3.0
28.639270000000018,2.0
28.213130416666665,5.0
27.738113666666663,4.0
26.815556888888896,6.0
26.04730833333333,11.0
25.928770944444484,7.0
25.396506333333324,8.0
25.247249444444446,9.0
24.70670349999999,12.0
24.49428133333333,10.0
24.314209833333315,15.0
24.015811055555552,14.0
23.7674663888889,18.0
23.682683083333327,17.0
23.64912783333332,13.0
23.45679700000002,16.0
23.220018583333335,20.0
22.477147611111146,19.0
22.452378333333353,21.0
22.378428444444445,22.0
22.18322144444446,23.0
21.475913944444454,30.0
21.42059922222222,31.0
21.414178416666683,28.0
21.304185277777787,24.0
21.222596416666658,25.0
20.861200499999995,27.0
20.832340916666656,29.0
20.758005999999995,32.0
20.56521986111113,38.0
20.55261730555556,41.0
20.512704083333333,34.0
20.48341483333333,33.0
20.46884811111109,40.0
20.409410749999996,26.0
20.402041750000024,46.0
20.382710833333338,37.0
20.25532516666667,36.0
20.245742638888924,47.0
20.16252975000001,50.0
20.161907777777763,39.0
20.143411861111122,49.0
20.09986561111113,44.0
20.06964319444444,48.0
20.04156305555556,35.0
19.961913166666665,43.0
19.54864850000001,42.0
19.18053458333333,45.0
