AUC,FolderNbr
29.104504888888908,16.0
28.88038691666669,18.0
28.82523947222223,14.0
28.769759027777788,10.0
28.580555416666652,15.0
28.57558755555554,9.0
28.47414702777778,13.0
28.446029333333364,8.0
28.269743166666654,19.0
28.06306108333331,20.0
28.019975749999997,21.0
28.009160416666667,17.0
27.986941305555554,11.0
27.886475861111126,23.0
27.876277166666704,22.0
27.69972883333333,24.0
27.67559733333333,7.0
27.53195272222224,12.0
27.33614966666667,25.0
27.26560605555554,26.0
27.026294750000016,30.0
27.014829111111105,28.0
26.905574666666652,27.0
26.882183194444448,31.0
26.836876166666652,32.0
26.797729000000004,6.0
26.752496250000004,34.0
26.593603138888888,35.0
26.5585935,40.0
26.425829666666637,38.0
26.31127369444447,33.0
26.266652333333326,39.0
26.25028497222223,42.0
26.24529355555556,41.0
26.245217000000007,36.0
26.23744108333333,29.0
26.23525850000002,43.0
26.219489000000017,37.0
26.063029833333317,50.0
26.057285777777764,46.0
25.959956916666666,44.0
25.764296444444437,45.0
25.650682666666672,48.0
25.565949555555555,49.0
25.531281638888903,47.0
25.480192083333346,5.0
24.154922500000026,4.0
21.65945633333333,3.0
21.31085155555556,2.0
18.463043083333336,1.0
