AUC,FolderNbr
7.181941888888892,1.0
6.540472749999997,5.0
6.531231999999997,4.0
5.658027666666663,2.0
5.256885611111114,3.0
4.8697053333333296,15.0
4.737806500000003,8.0
4.691549444444446,7.0
4.397263000000004,12.0
4.102975999999999,6.0
3.652226333333334,14.0
3.647051333333334,13.0
3.4865575833333313,9.0
3.3942923333333352,17.0
3.363595583333334,16.0
3.2283058333333376,18.0
2.990611666666667,20.0
2.9663148333333345,19.0
2.9500271666666653,10.0
2.852055500000001,11.0
2.6543374166666664,25.0
2.6420718333333344,26.0
2.0830301388888888,29.0
2.067944305555556,28.0
1.8884265833333347,31.0
1.822490249999999,32.0
1.5841541944444448,34.0
1.5646346944444438,35.0
1.4550898333333346,21.0
1.42237225,22.0
1.3786945000000013,23.0
1.2547915,27.0
0.9975207222222218,37.0
0.9953479999999997,44.0
0.9799636666666663,43.0
0.9296056666666663,38.0
0.8979612499999995,33.0
0.7124114999999999,30.0
0.7117390555555554,39.0
0.6411152777777774,42.0
0.5181988333333334,48.0
0.42877327777777785,36.0
0.342921111111111,49.0
0.3240632499999999,50.0
-0.4512358333333331,40.0
-0.4588208333333332,41.0
-0.5031157777777772,24.0
-0.5294968333333337,45.0
-0.8587950000000001,46.0
-0.9010691666666667,47.0
